Codigo;Materia;Credito
MATII2125;Matemática II;5
CONTII2187;Contabilidad II;7
ING283;Inglés;3
LEGL262;Legislación Laboral;2
ESTI294;Estadística I;4
IADM262;Introducción a la Adminstración;2
AYC262;Arte y Cultura;2
INF362;Informática;2
CALCF394;Calculo Financiero;4
ITE362;Introducción a la Teoría Económica;2
ESTII394;Estadística II;4
CONTIII3187;Contabilidad III;7
PADM362;Procesos Administrativos;2
CCI4125;Contabilidad de Costos I;5
PPI4187;Práctica Profesional I;7
AUDI4125;Auditoría I;5
CEI4125;Contabilidad Especializada I;5
FGP462;Finanzas y Gestión Presupuestaria;2
ADMP462;Administración Pública;2
SIG582;Sistemas de Información Gerencial;2
IDO594;Investigación de Operaciones;4
AUDII5125;Auditoría II;5
CEII5125;Contabilidad Especializada II;5
CCII5125;Contabilidad de Costos II;5
EGDP562;Gerencia de Proyectos;2
EHABG662;Habilidades Gerenciales;2
ECONTA662;Contabilidad Ambiental;2
STI6125;Sistemas Tributarios I;5
MERC662;Mercadeo;2
PRES662;Presupuesto;2
CCIII6125;Contabilidad de Costos III;5
SEMI662;Seminario I;2
PPII6187;Práctica Profesional II;7
STII7125;Sistemas Tributarios II;5
GTH762;Gestión de Talento Humano;2
AUDIII7125;Auditoría III;5
AEF794;Análisis de Estados Financieros;4
EDP762;Ética y Desarrollo Profesional;2
SEMII762;Seminario II;2
ETRIBA762;Tributación Aduanera;2
ETNC762;Técnicas de Negociación y Conciliación;2
EAV7862;Avalúos;2
INSTF862;Instituciones Financieras;2
TDG8187;Tesina de Grado;7
PAS82410;Pasantías;10
IALEC1125;Introducción a la Economía;5
ATI1125;Análisis Matemático I;5
LYC194;Lenguaje y Comunicación;4
FD162;Fundamentos del Derecho;2
MI1125;Metodología de la Investigación;4
DYR162;Deporte y Recreación;2
IINST162;Ingles Instrumental;2
ECONI2125;Economía I;5
SOC294;Sociología;4
AMATII2125;Análisis Matemático II;5
CGI2125;Contabilidad General I;5
INF294;Informática;4
AYC262;Arte y Cultura;2
ESTI2125;Estadística I;5
ECONII3125;Economía II;5
SPP362;Sociopolítica Productiva;2
ESTII3125;Estadística II;5
CGII3125;Contabilidad General II;5
IADM362;Introducción a la Administración;2
HDE3125;Historia y Doctrina Económica;5
INFA3125;Informática Aplicada;4
MACEI4125;Macroeconomía I;5
AFIN4125;Análisis Financiero;5
MATIII4125;Matemática III;5
MICEI4125;Microeconomía I;5
TIM4125;Teoría e Investigación de Mercado;5
SEMI494;Seminario I;4
ESTA4125;Estadística Aplicada;5
MACEII525;Macroeconomía II;5
MICEII512;Microeconomía II;5
MATFI5125;Matemática Financiera;5
CONTS5125;Contabilidad Social;5
DE5125;Desarrollo Económico;5
AER5125;Análisis Económico Regional;4
ECONP6125;Economía Política;5
FEP6125;Formulación y Evaluación de Proyectos;5
IDO6125;Investigación de Operaciones;5
TPF6125;Teoría y Política Fiscal;5
SEMII694;Seminario II;4
EEPA662;Economía y Política Agrícola;2
EEI662;Economía Industrial;2
EMYP662;Economía Minera y Petrolera;2
EAYS662;Economía Ambiente y Sociedad;2
SEMIII794;Seminario III;4
ECONM7125;Econometría;5
TYPE7125;Teoría y Política Monetaria;5
PLAN7125;Planificación;5
ECONI7125;Economía Internacional;5
EFEPA762;Formulación y Evaluación de Proyectos Agrícolas;2
EGC762;Gestión Comunitaria;2
ECDC762;Contabilidad de Costos;2
EPRES762;Presupuesto;2
TFG8187;Trabajo Final de Grado;7
EFINI862;Finanzas Internacionales;2
EEEM862;Estructura Económica Mundial;2
EGDR862;Gestión de Riesgo;2
ECYC862;Economía y Crisis;2
